Raw_Output_Name,Output_Name,RawBusNum,Bus,PlantNames,Fuel,GenFuelType,Max_Cap,Min_Cap,gen_categ,ClassCategory,SourceRowCount,SourceRawRowIDs,SourceBusNames,SourceBusAreaNames
CARIBOU_O_Maine_23,CARIBOU_O_Maine_23,1178,1178,CARIBOU_O_Maine,DFO (Distillate Fuel Oil),Oil,4.43,2.14,below_50,Oil_below_50,1,215,CARIBOU 4 5,Maine
CARIBOU_O_Maine_24,CARIBOU_O_Maine_24,1179,1179,CARIBOU_O_Maine,DFO (Distillate Fuel Oil),Oil,4.43,2.01,below_50,Oil_below_50,1,216,CARIBOU 4 6,Maine
CARIBOU_O_Maine_25,CARIBOU_O_Maine_25,1179,1179,CARIBOU_O_Maine,DFO (Distillate Fuel Oil),Oil,4.43,0.7,below_50,Oil_below_50,1,217,CARIBOU 4 6,Maine
PORTSMOUTH_O_New_Hampshire,PORTSMOUTH_O_New_Hampshire,1743,1743,PORTSMOUTH_O_New_Hampshire,DFO (Distillate Fuel Oil),Oil,414.0,88.18,400_600,Oil_400_600,1,232,PORTSMOUTH 4 4,New Hampshire
CONCORD_C_New_Hampshire,CONCORD_C_New_Hampshire,1751,1751,CONCORD_C_New_Hampshire,BIT (Bituminous Coal),Coal,229.6,97.66,200_300,Coal_200_300,1,233,CONCORD 8 6,New Hampshire
CONCORD_C_New_Hampshire_26,CONCORD_C_New_Hampshire_26,1752,1752,CONCORD_C_New_Hampshire,BIT (Bituminous Coal),Coal,229.6,91.52,200_300,Coal_200_300,1,234,CONCORD 8 7,New Hampshire
PORTSMOUTH_C_New_Hampshire,PORTSMOUTH_C_New_Hampshire,1755,1755,PORTSMOUTH_C_New_Hampshire,BIT (Bituminous Coal),Coal,50.0,7.97,below_50,Coal_below_50,1,235,PORTSMOUTH 5 1,New Hampshire
PORTSMOUTH_C_New_Hampshire_27,PORTSMOUTH_C_New_Hampshire_27,1755,1755,PORTSMOUTH_C_New_Hampshire,BIT (Bituminous Coal),Coal,50.0,20.61,below_50,Coal_below_50,1,236,PORTSMOUTH 5 1,New Hampshire
HANOVER_O_New_Hampshire,HANOVER_O_New_Hampshire,1770,1770,HANOVER_O_New_Hampshire,DFO (Distillate Fuel Oil),Oil,2.33,0.93,below_50,Oil_below_50,1,242,HANOVER 3 1,New Hampshire
HANOVER_O_New_Hampshire_28,HANOVER_O_New_Hampshire_28,1770,1770,HANOVER_O_New_Hampshire,DFO (Distillate Fuel Oil),Oil,2.33,0.6,below_50,Oil_below_50,1,243,HANOVER 3 1,New Hampshire
HANOVER_O_New_Hampshire_29,HANOVER_O_New_Hampshire_29,1770,1770,HANOVER_O_New_Hampshire,DFO (Distillate Fuel Oil),Oil,2.33,1.13,below_50,Oil_below_50,1,244,HANOVER 3 1,New Hampshire
HAMPTON_O_New_Hampshire,HAMPTON_O_New_Hampshire,1772,1772,HAMPTON_O_New_Hampshire,DFO (Distillate Fuel Oil),Oil,0.63,0.22,below_50,Oil_below_50,1,245,HAMPTON 5 1,New Hampshire
HAMPTON_O_New_Hampshire_30,HAMPTON_O_New_Hampshire_30,1772,1772,HAMPTON_O_New_Hampshire,DFO (Distillate Fuel Oil),Oil,0.63,0.13,below_50,Oil_below_50,1,246,HAMPTON 5 1,New Hampshire
HAMPTON_O_New_Hampshire_31,HAMPTON_O_New_Hampshire_31,1772,1772,HAMPTON_O_New_Hampshire,DFO (Distillate Fuel Oil),Oil,0.63,0.17,below_50,Oil_below_50,1,247,HAMPTON 5 1,New Hampshire
HAMPTON_O_New_Hampshire_32,HAMPTON_O_New_Hampshire_32,1772,1772,HAMPTON_O_New_Hampshire,DFO (Distillate Fuel Oil),Oil,0.63,0.28,below_50,Oil_below_50,1,248,HAMPTON 5 1,New Hampshire
HAMPTON_O_New_Hampshire_33,HAMPTON_O_New_Hampshire_33,1773,1773,HAMPTON_O_New_Hampshire,DFO (Distillate Fuel Oil),Oil,0.63,0.12,below_50,Oil_below_50,1,249,HAMPTON 5 2,New Hampshire
HAMPTON_O_New_Hampshire_34,HAMPTON_O_New_Hampshire_34,1774,1774,HAMPTON_O_New_Hampshire,DFO (Distillate Fuel Oil),Oil,0.63,0.16,below_50,Oil_below_50,1,250,HAMPTON 5 3,New Hampshire
HAMPTON_NG_New_Hampshire,HAMPTON_NG_New_Hampshire,1778,1778,HAMPTON_NG_New_Hampshire,NG (Natural Gas),Gas,5.0,1.54,below_50,Gas_below_50,1,251,HAMPTON 6 1,New Hampshire
LONDONDERRY_NG_New_Hampshire,LONDONDERRY_NG_New_Hampshire,1793,1793,LONDONDERRY_NG_New_Hampshire,NG (Natural Gas),Gas,263.33,114.33,200_300,Gas_200_300,1,254,LONDONDERRY 4 4,New Hampshire
LONDONDERRY_NG_New_Hampshire_35,LONDONDERRY_NG_New_Hampshire_35,1794,1794,LONDONDERRY_NG_New_Hampshire,NG (Natural Gas),Gas,263.33,104.86,200_300,Gas_200_300,1,255,LONDONDERRY 4 5,New Hampshire
LONDONDERRY_NG_New_Hampshire_36,LONDONDERRY_NG_New_Hampshire_36,1795,1795,LONDONDERRY_NG_New_Hampshire,NG (Natural Gas),Gas,263.33,109.65,200_300,Gas_200_300,1,256,LONDONDERRY 4 6,New Hampshire
SEABROOK_Nuc_New_Hampshire,SEABROOK_Nuc_New_Hampshire,1801,1801,SEABROOK_Nuc_New_Hampshire,NUC (Nuclear),Nuclear,1242.0,462.96,ovr_1000,Nuclear_ovr_1000,1,257,SEABROOK 3 4,New Hampshire
MIRRORLAKE_O_New_Hampshire,MIRRORLAKE_O_New_Hampshire,1806,1806,MIRRORLAKE_O_New_Hampshire,DFO (Distillate Fuel Oil),Oil,18.0,4.11,below_50,Oil_below_50,1,258,MIRROR LAKE 3,New Hampshire
CONCORD_O_New_Hampshire,CONCORD_O_New_Hampshire,1853,1853,CONCORD_O_New_Hampshire,DFO (Distillate Fuel Oil),Oil,0.7,0.34,below_50,Oil_below_50,1,289,CONCORD 11 3,New Hampshire
CONCORD_O_New_Hampshire_37,CONCORD_O_New_Hampshire_37,1854,1854,CONCORD_O_New_Hampshire,DFO (Distillate Fuel Oil),Oil,0.7,0.26,below_50,Oil_below_50,1,290,CONCORD 11 4,New Hampshire
CONCORD_O_New_Hampshire_38,CONCORD_O_New_Hampshire_38,1856,1856,CONCORD_O_New_Hampshire,DFO (Distillate Fuel Oil),Oil,18.6,3.67,below_50,Oil_below_50,1,291,CONCORD 11 6,New Hampshire
CONCORD_O_New_Hampshire_39,CONCORD_O_New_Hampshire_39,1857,1857,CONCORD_O_New_Hampshire,DFO (Distillate Fuel Oil),Oil,18.6,5.62,below_50,Oil_below_50,1,292,CONCORD 11 7,New Hampshire
CONCORD_O_New_Hampshire_40,CONCORD_O_New_Hampshire_40,1857,1857,CONCORD_O_New_Hampshire,DFO (Distillate Fuel Oil),Oil,0.7,0.31,below_50,Oil_below_50,1,293,CONCORD 11 7,New Hampshire
TAMWORTH_O_New_Hampshire,TAMWORTH_O_New_Hampshire,1874,1874,TAMWORTH_O_New_Hampshire,DFO (Distillate Fuel Oil),Oil,18.6,4.58,below_50,Oil_below_50,1,304,TAMWORTH 5,New Hampshire
PLYMOUTH_O_New_Hampshire,PLYMOUTH_O_New_Hampshire,1879,1879,PLYMOUTH_O_New_Hampshire,DFO (Distillate Fuel Oil),Oil,1.4,0.56,below_50,Oil_below_50,1,306,PLYMOUTH 4 1,New Hampshire
PLYMOUTH_O_New_Hampshire_41,PLYMOUTH_O_New_Hampshire_41,1879,1879,PLYMOUTH_O_New_Hampshire,DFO (Distillate Fuel Oil),Oil,1.4,0.65,below_50,Oil_below_50,1,307,PLYMOUTH 4 1,New Hampshire
PORTSMOUTH_O_New_Hampshire_42,PORTSMOUTH_O_New_Hampshire_42,1907,1907,PORTSMOUTH_O_New_Hampshire,DFO (Distillate Fuel Oil),Oil,21.2,8.54,below_50,Oil_below_50,1,332,PORTSMOUTH 6 1,New Hampshire
PORTSMOUTH_NG_New_Hampshire,PORTSMOUTH_NG_New_Hampshire,1917,1917,PORTSMOUTH_NG_New_Hampshire,NG (Natural Gas),Gas,201.83,66.43,200_300,Gas_200_300,1,336,PORTSMOUTH 7 4,New Hampshire
PORTSMOUTH_NG_New_Hampshire_43,PORTSMOUTH_NG_New_Hampshire_43,1918,1918,PORTSMOUTH_NG_New_Hampshire,NG (Natural Gas),Gas,201.83,43.43,200_300,Gas_200_300,1,337,PORTSMOUTH 7 5,New Hampshire
PORTSMOUTH_NG_New_Hampshire_44,PORTSMOUTH_NG_New_Hampshire_44,1919,1919,PORTSMOUTH_NG_New_Hampshire,NG (Natural Gas),Gas,201.83,33.77,200_300,Gas_200_300,1,338,PORTSMOUTH 7 6,New Hampshire
COLCHESTER_O_Vermont,COLCHESTER_O_Vermont,2443,2443,COLCHESTER_O_Vermont,DFO (Distillate Fuel Oil),Oil,18.0,5.15,below_50,Oil_below_50,1,350,COLCHESTER 5 2,Vermont
FLORENCE_O_Vermont,FLORENCE_O_Vermont,2449,2449,FLORENCE_O_Vermont,DFO (Distillate Fuel Oil),Oil,4.6,0.88,below_50,Oil_below_50,1,351,FLORENCE 1 1,Vermont
FLORENCE_O_Vermont_45,FLORENCE_O_Vermont_45,2449,2449,FLORENCE_O_Vermont,DFO (Distillate Fuel Oil),Oil,4.6,1.74,below_50,Oil_below_50,1,352,FLORENCE 1 1,Vermont
WESTCHARLESTON_O_Vermont,WESTCHARLESTON_O_Vermont,2454,2454,WESTCHARLESTON_O_Vermont,DFO (Distillate Fuel Oil),Oil,1.4,0.17,below_50,Oil_below_50,1,358,WEST CHARLESTON 2,Vermont
WESTCHARLESTON_O_Vermont_46,WESTCHARLESTON_O_Vermont_46,2454,2454,WESTCHARLESTON_O_Vermont,DFO (Distillate Fuel Oil),Oil,1.4,0.22,below_50,Oil_below_50,1,359,WEST CHARLESTON 2,Vermont
ESSEXJUNCTION_O_Vermont,ESSEXJUNCTION_O_Vermont,2485,2485,ESSEXJUNCTION_O_Vermont,DFO (Distillate Fuel Oil),Oil,2.0,0.99,below_50,Oil_below_50,1,377,ESSEX JUNCTION 6 1,Vermont
ESSEXJUNCTION_O_Vermont_47,ESSEXJUNCTION_O_Vermont_47,2485,2485,ESSEXJUNCTION_O_Vermont,DFO (Distillate Fuel Oil),Oil,2.0,0.44,below_50,Oil_below_50,1,378,ESSEX JUNCTION 6 1,Vermont
ESSEXJUNCTION_O_Vermont_48,ESSEXJUNCTION_O_Vermont_48,2485,2485,ESSEXJUNCTION_O_Vermont,DFO (Distillate Fuel Oil),Oil,2.0,0.33,below_50,Oil_below_50,1,379,ESSEX JUNCTION 6 1,Vermont
ESSEXJUNCTION_O_Vermont_49,ESSEXJUNCTION_O_Vermont_49,2485,2485,ESSEXJUNCTION_O_Vermont,DFO (Distillate Fuel Oil),Oil,2.0,0.21,below_50,Oil_below_50,1,380,ESSEX JUNCTION 6 1,Vermont
BARNARD_O_Vermont,BARNARD_O_Vermont,2503,2503,BARNARD_O_Vermont,DFO (Distillate Fuel Oil),Oil,13.2,2.6,below_50,Oil_below_50,1,388,BARNARD 1 4,Vermont
RUTLAND_O_Vermont,RUTLAND_O_Vermont,2536,2536,RUTLAND_O_Vermont,DFO (Distillate Fuel Oil),Oil,13.2,3.78,below_50,Oil_below_50,1,409,RUTLAND 5 2,Vermont
BURLINGTON_O_Vermont,BURLINGTON_O_Vermont,2552,2552,BURLINGTON_O_Vermont,DFO (Distillate Fuel Oil),Oil,25.5,6.24,below_50,Oil_below_50,1,420,BURLINGTON 10 1,Vermont
BARRE_O_Vermont,BARRE_O_Vermont,2600,2600,BARRE_O_Vermont,DFO (Distillate Fuel Oil),Oil,41.8,18.98,below_50,Oil_below_50,1,446,BARRE 5 4,Vermont
VERGENNES_O_Vermont,VERGENNES_O_Vermont,2625,2625,VERGENNES_O_Vermont,DFO (Distillate Fuel Oil),Oil,2.0,0.39,below_50,Oil_below_50,1,459,VERGENNES 4 3,Vermont
VERGENNES_O_Vermont_50,VERGENNES_O_Vermont_50,2625,2625,VERGENNES_O_Vermont,DFO (Distillate Fuel Oil),Oil,2.0,0.29,below_50,Oil_below_50,1,460,VERGENNES 4 3,Vermont
INDIANORCHARD_NG_Massachusetts,INDIANORCHARD_NG_Massachusetts,3921,3921,INDIANORCHARD_NG_Massachusetts,NG (Natural Gas),Gas,86.97,11.33,50_100,Gas_50_100,1,486,INDIAN ORCHARD 1 1,Massachusetts
INDIANORCHARD_NG_Massachusetts_51,INDIANORCHARD_NG_Massachusetts_51,3921,3921,INDIANORCHARD_NG_Massachusetts,NG (Natural Gas),Gas,86.97,9.4,50_100,Gas_50_100,1,487,INDIAN ORCHARD 1 1,Massachusetts
INDIANORCHARD_NG_Massachusetts_52,INDIANORCHARD_NG_Massachusetts_52,3921,3921,INDIANORCHARD_NG_Massachusetts,NG (Natural Gas),Gas,86.97,21.68,50_100,Gas_50_100,1,488,INDIAN ORCHARD 1 1,Massachusetts
PEABODY_NG_Massachusetts,PEABODY_NG_Massachusetts,3943,3943,PEABODY_NG_Massachusetts,NG (Natural Gas),Gas,2.23,0.86,below_50,Gas_below_50,1,508,PEABODY 5 2,Massachusetts
PEABODY_NG_Massachusetts_53,PEABODY_NG_Massachusetts_53,3943,3943,PEABODY_NG_Massachusetts,NG (Natural Gas),Gas,2.23,0.35,below_50,Gas_below_50,1,509,PEABODY 5 2,Massachusetts
PEABODY_NG_Massachusetts_54,PEABODY_NG_Massachusetts_54,3944,3944,PEABODY_NG_Massachusetts,NG (Natural Gas),Gas,2.23,0.62,below_50,Gas_below_50,1,510,PEABODY 5 3,Massachusetts
INDIANORCHARD_C_Massachusetts,INDIANORCHARD_C_Massachusetts,3955,3955,INDIANORCHARD_C_Massachusetts,BIT (Bituminous Coal),Coal,5.7,1.1,below_50,Coal_below_50,1,519,INDIAN ORCHARD 2 2,Massachusetts
PITTSFIELD_O_Massachusetts,PITTSFIELD_O_Massachusetts,3962,3962,PITTSFIELD_O_Massachusetts,DFO (Distillate Fuel Oil),Oil,21.1,6.9,below_50,Oil_below_50,1,524,PITTSFIELD 11 1,Massachusetts
NORTHAMPTON_NG_Massachusetts,NORTHAMPTON_NG_Massachusetts,3965,3965,NORTHAMPTON_NG_Massachusetts,NG (Natural Gas),Gas,5.3,2.56,below_50,Gas_below_50,1,525,NORTHAMPTON 3 2,Massachusetts
NORTHAMPTON_NG_Massachusetts_55,NORTHAMPTON_NG_Massachusetts_55,3965,3965,NORTHAMPTON_NG_Massachusetts,NG (Natural Gas),Gas,1.2,0.56,below_50,Gas_below_50,1,526,NORTHAMPTON 3 2,Massachusetts
NORTHAMPTON_NG_Massachusetts_56,NORTHAMPTON_NG_Massachusetts_56,3966,3966,NORTHAMPTON_NG_Massachusetts,NG (Natural Gas),Gas,0.5,0.15,below_50,Gas_below_50,1,527,NORTHAMPTON 3 3,Massachusetts
MARBLEHEAD_O_Massachusetts,MARBLEHEAD_O_Massachusetts,3970,3970,MARBLEHEAD_O_Massachusetts,DFO (Distillate Fuel Oil),Oil,2.7,0.86,below_50,Oil_below_50,1,528,MARBLEHEAD 2 2,Massachusetts
MARBLEHEAD_O_Massachusetts_57,MARBLEHEAD_O_Massachusetts_57,3970,3970,MARBLEHEAD_O_Massachusetts,DFO (Distillate Fuel Oil),Oil,2.7,0.37,below_50,Oil_below_50,1,529,MARBLEHEAD 2 2,Massachusetts
MARBLEHEAD_O_Massachusetts_58,MARBLEHEAD_O_Massachusetts_58,3971,3971,MARBLEHEAD_O_Massachusetts,DFO (Distillate Fuel Oil),Oil,1.2,0.18,below_50,Oil_below_50,1,530,MARBLEHEAD 2 3,Massachusetts
MARBLEHEAD_O_Massachusetts_59,MARBLEHEAD_O_Massachusetts_59,3971,3971,MARBLEHEAD_O_Massachusetts,DFO (Distillate Fuel Oil),Oil,1.2,0.22,below_50,Oil_below_50,1,531,MARBLEHEAD 2 3,Massachusetts
WESTSPRINGFIELD_NG_Massachusetts,WESTSPRINGFIELD_NG_Massachusetts,3982,3982,WESTSPRINGFIELD_NG_Massachusetts,NG (Natural Gas),Gas,113.6,26.58,100_200,Gas_100_200,1,539,WEST SPRINGFIELD 4 3,Massachusetts
BOSTON_NG_Massachusetts,BOSTON_NG_Massachusetts,3995,3995,BOSTON_NG_Massachusetts,NG (Natural Gas),Gas,7.2,1.49,below_50,Gas_below_50,1,547,BOSTON 9 1,Massachusetts
LUDLOW_O_Massachusetts,LUDLOW_O_Massachusetts,3999,3999,LUDLOW_O_Massachusetts,DFO (Distillate Fuel Oil),Oil,89.1,43.54,50_100,Oil_50_100,1,552,LUDLOW 4 1,Massachusetts
LUDLOW_O_Massachusetts_60,LUDLOW_O_Massachusetts_60,3999,3999,LUDLOW_O_Massachusetts,DFO (Distillate Fuel Oil),Oil,89.1,20.94,50_100,Oil_50_100,1,553,LUDLOW 4 1,Massachusetts
LUDLOW_O_Massachusetts_61,LUDLOW_O_Massachusetts_61,3999,3999,LUDLOW_O_Massachusetts,DFO (Distillate Fuel Oil),Oil,89.1,39.2,50_100,Oil_50_100,1,554,LUDLOW 4 1,Massachusetts
LUDLOW_O_Massachusetts_62,LUDLOW_O_Massachusetts_62,3999,3999,LUDLOW_O_Massachusetts,DFO (Distillate Fuel Oil),Oil,89.1,21.34,50_100,Oil_50_100,1,555,LUDLOW 4 1,Massachusetts
LUDLOW_O_Massachusetts_63,LUDLOW_O_Massachusetts_63,3999,3999,LUDLOW_O_Massachusetts,DFO (Distillate Fuel Oil),Oil,89.1,17.55,50_100,Oil_50_100,1,556,LUDLOW 4 1,Massachusetts
LUDLOW_O_Massachusetts_64,LUDLOW_O_Massachusetts_64,3999,3999,LUDLOW_O_Massachusetts,DFO (Distillate Fuel Oil),Oil,89.1,16.34,50_100,Oil_50_100,1,557,LUDLOW 4 1,Massachusetts
SHREWSBURY_O_Massachusetts,SHREWSBURY_O_Massachusetts,4005,4005,SHREWSBURY_O_Massachusetts,DFO (Distillate Fuel Oil),Oil,2.8,0.81,below_50,Oil_below_50,1,558,SHREWSBURY 5 1,Massachusetts
SHREWSBURY_O_Massachusetts_65,SHREWSBURY_O_Massachusetts_65,4005,4005,SHREWSBURY_O_Massachusetts,DFO (Distillate Fuel Oil),Oil,2.8,1.26,below_50,Oil_below_50,1,559,SHREWSBURY 5 1,Massachusetts
SHREWSBURY_O_Massachusetts_66,SHREWSBURY_O_Massachusetts_66,4005,4005,SHREWSBURY_O_Massachusetts,DFO (Distillate Fuel Oil),Oil,2.8,0.64,below_50,Oil_below_50,1,560,SHREWSBURY 5 1,Massachusetts
SHREWSBURY_O_Massachusetts_67,SHREWSBURY_O_Massachusetts_67,4005,4005,SHREWSBURY_O_Massachusetts,DFO (Distillate Fuel Oil),Oil,2.8,0.96,below_50,Oil_below_50,1,561,SHREWSBURY 5 1,Massachusetts
SHREWSBURY_O_Massachusetts_68,SHREWSBURY_O_Massachusetts_68,4005,4005,SHREWSBURY_O_Massachusetts,DFO (Distillate Fuel Oil),Oil,2.8,0.56,below_50,Oil_below_50,1,562,SHREWSBURY 5 1,Massachusetts
PITTSFIELD_NG_Massachusetts,PITTSFIELD_NG_Massachusetts,4029,4029,PITTSFIELD_NG_Massachusetts,NG (Natural Gas),Gas,3.0,0.82,below_50,Gas_below_50,1,576,PITTSFIELD 13 1,Massachusetts
PITTSFIELD_NG_Massachusetts_69,PITTSFIELD_NG_Massachusetts_69,4030,4030,PITTSFIELD_NG_Massachusetts,NG (Natural Gas),Gas,43.87,19.75,below_50,Gas_below_50,1,577,PITTSFIELD 13 2,Massachusetts
PITTSFIELD_NG_Massachusetts_70,PITTSFIELD_NG_Massachusetts_70,4030,4030,PITTSFIELD_NG_Massachusetts,NG (Natural Gas),Gas,43.87,19.04,below_50,Gas_below_50,1,578,PITTSFIELD 13 2,Massachusetts
