wkt_geom,name,folders,Substation Longitude,Substation Latitude,Number
PointZ (-98.51954622480249668 45.4742838936455982 0),ABERDEEN 11 3,Buses,-98.51954622,45.47428389,68008
PointZ (-98.51414622480250216 45.47314789389049849 0),ABERDEEN 11 4,Buses,-98.51414622,45.47314789,68009
PointZ (-98.49614622480250148 45.48450689066879704 0),ABERDEEN 11 5,Buses,-98.49614622,45.48450689,68010
PointZ (-98.48642544722559933 45.44383958682590219 0),ABERDEEN 12 1,Buses,-98.48642545,45.44383959,68011
PointZ (-98.47126426418429901 45.52792876957219903 0),ABERDEEN 13 1,Buses,-98.47126426,45.52792877,68012
PointZ (-98.50877337050670235 45.41606655558219785 0),ABERDEEN 14 1,Buses,-98.50877337,45.41606656,68630
PointZ (-98.49077337050670167 45.4034299860478967 0),ABERDEEN 14 2,Buses,-98.49077337,45.40342999,68631
PointZ (-98.48537337050669294 45.3982481634171009 0),ABERDEEN 14 3,Buses,-98.48537337,45.39824816,68632
PointZ (-98.49077337050670167 45.41606655558219785 0),ABERDEEN 14 4,Buses,-98.49077337,45.41606656,68633
PointZ (-98.50877337050670235 45.40848494580389882 0),ABERDEEN 14 6,Buses,-98.50877337,45.40848495,68634
PointZ (-98.43366058194010293 45.45299396317300022 0),ABERDEEN 15 1,Buses,-98.43366058,45.45299396,68657
PointZ (-98.41566058194010225 45.44668016439599967 0),ABERDEEN 15 2,Buses,-98.41566058,45.44668016,68658
PointZ (-98.41566058194010225 45.43531354370239939 0),ABERDEEN 15 3,Buses,-98.41566058,45.43531354,68659
PointZ (-98.43906058194009745 45.43645030127979823 0),ABERDEEN 15 4,Buses,-98.43906058,45.4364503,68660
PointZ (-98.43366058194010293 45.4353135391327001 0),ABERDEEN 15 5,Buses,-98.43366058,45.43531354,68661
PointZ (-98.43366058194010293 45.44415444607530219 0),ABERDEEN 15 6,Buses,-98.43366058,45.44415445,68662
PointZ (-98.41566058194010225 45.45425663628879676 0),ABERDEEN 15 8,Buses,-98.41566058,45.45425664,68663
PointZ (-76.25728655215179685 39.54426887937960089 0),ABERDEEN 2 1,Buses,-76.25728655,39.54426888,16861
PointZ (-76.26470734437370425 39.45165879681579923 0),ABERDEEN 3 1,Buses,-76.26470734,39.4516588,16862
PointZ (-76.14617432191910495 39.40494960224020105 0),ABERDEEN 4 1,Buses,-76.14617432,39.4049496,16863
PointZ (-79.41129706213739325 35.1010799617363034 0),ABERDEEN 5 1,Buses,-79.41129706,35.10107996,20522
PointZ (-88.55641027858580117 33.79550332437970184 0),ABERDEEN 6 1,Buses,-88.55641028,33.79550332,30610
PointZ (-88.56181027858579569 33.7863781427645975 0),ABERDEEN 6 2,Buses,-88.56181028,33.78637814,30611
PointZ (-88.56181027858579569 33.7833860703630009 0),ABERDEEN 6 3,Buses,-88.56181028,33.78338607,30612
PointZ (-88.55641027858580117 33.78503172690960099 0),ABERDEEN 6 4,Buses,-88.55641028,33.78503173,30613
PointZ (-88.53841027858580048 33.79849496794179942 0),ABERDEEN 6 5,Buses,-88.53841028,33.79849497,30614
PointZ (-88.53841027858580048 33.78652775554760268 0),ABERDEEN 6 7,Buses,-88.53841028,33.78652776,30615
PointZ (-88.64021951550840583 33.7945698629281992 0),ABERDEEN 7 1,Buses,-88.64021952,33.79456986,30616
PointZ (-83.67288551857200218 38.61456499583729851 0),ABERDEEN 8 1,Buses,-83.67288552,38.614565,36877
PointZ (-83.66568551857200475 38.61625271453179664 0),ABERDEEN 8 10,Buses,-83.66568552,38.61625271,36885
PointZ (-83.66568551857200475 38.61231463840650235 0),ABERDEEN 8 2,Buses,-83.66568552,38.61231464,36878
PointZ (-83.66568551857200475 38.6078137097389984 0),ABERDEEN 8 3,Buses,-83.66568552,38.60781371,36879
PointZ (-83.67504551857200568 38.61619645737300033 0),ABERDEEN 8 4,Buses,-83.67504552,38.61619646,36880
PointZ (-83.67504551857200568 38.61507131307089935 0),ABERDEEN 8 5,Buses,-83.67504552,38.61507131,36881
PointZ (-83.67504551857200568 38.61394615112070028 0),ABERDEEN 8 6,Buses,-83.67504552,38.61394615,36882
PointZ (-83.67504551857200568 38.61282097152290049 0),ABERDEEN 8 7,Buses,-83.67504552,38.61282097,36883
PointZ (-83.67288551857200218 38.6100642083495984 0),ABERDEEN 8 8,Buses,-83.67288552,38.61006421,36884
PointZ (-83.69997547013859673 38.62231909284150078 0),ABERDEEN 9 1,Buses,-83.69997547,38.62231909,37134
PointZ (-83.69565547013860396 38.62288160933579917 0),ABERDEEN 9 2,Buses,-83.69565547,38.62288161,37135
PointZ (-101.92277094487499767 33.86831111543180128 0),ABERNATHY 1 1,Buses,-101.9227709,33.86831112,61679
PointZ (-101.91845094487500489 33.8677132835640009 0),ABERNATHY 1 2,Buses,-101.9184509,33.86771328,61680
PointZ (-101.8356037538570007 33.87129695615700342 0),ABERNATHY 2 1,Buses,-101.8356038,33.87129696,61860
PointZ (-101.82840375385700327 33.86950350423700229 0),ABERNATHY 2 11,Buses,-101.8284038,33.8695035,61869
PointZ (-101.8356037538570007 33.86591649600789822 0),ABERNATHY 2 2,Buses,-101.8356038,33.8659165,61861
PointZ (-101.82624375385699977 33.86705239634319753 0),ABERNATHY 2 3,Buses,-101.8262438,33.8670524,61862
PointZ (-101.82840375385700327 33.86651434045820253 0),ABERNATHY 2 4,Buses,-101.8284038,33.86651434,61863
PointZ (-101.83776375385700419 33.87303058371539777 0),ABERNATHY 2 5,Buses,-101.8377638,33.87303058,61864
PointZ (-101.83776375385700419 33.87183497973519763 0),ABERNATHY 2 6,Buses,-101.8377638,33.87183498,61865
PointZ (-101.83776375385700419 33.87063935900769707 0),ABERNATHY 2 7,Buses,-101.8377638,33.87063936,61866
PointZ (-101.83776375385700419 33.86466100416849656 0),ABERNATHY 2 8,Buses,-101.8377638,33.864661,61867
PointZ (-101.82840375385700327 33.8724925655106972 0),ABERNATHY 2 9,Buses,-101.8284038,33.87249257,61868
PointZ (-97.17523147257030303 39.00144004131630027 0),ABILENE 1 1,Buses,-97.17523147,39.00144004,63856
PointZ (-97.23341979802719948 38.96386398141609675 0),ABILENE 2 1,Buses,-97.2334198,38.96386398,63857
PointZ (-97.23341979802719948 38.9526664815825967 0),ABILENE 2 2,Buses,-97.2334198,38.95266648,63858
PointZ (-97.21001979802720427 38.95252649556029922 0),ABILENE 2 3,Buses,-97.2100198,38.9525265,63859
PointZ (-97.21541979802719879 38.95126666715790265 0),ABILENE 2 4,Buses,-97.2154198,38.95126667,63860
PointZ (-97.21541979802719879 38.96526354194600117 0),ABILENE 2 5,Buses,-97.2154198,38.96526354,63861
PointZ (-97.21541979802719879 38.95826544761860077 0),ABILENE 2 7,Buses,-97.2154198,38.95826545,63862
PointZ (-76.24779028552740101 39.47342655197100214 0),ABINGDON 1 1,Buses,-76.24779029,39.47342655,16864
PointZ (-82.03385958571939796 36.63608384378719762 0),ABINGDON 10 1,Buses,-82.03385959,36.63608384,18263
PointZ (-81.93025469625850121 36.60811889732669755 0),ABINGDON 11 1,Buses,-81.9302547,36.6081189,18264
PointZ (-81.92593469625849423 36.60869686186200056 0),ABINGDON 11 2,Buses,-81.9259347,36.60869686,18265
PointZ (-90.38433613293389612 40.81676577519009896 0),ABINGDON 12 1,Buses,-90.38433613,40.81676578,45398
PointZ (-90.32490019282700189 40.81172380343839734 0),ABINGDON 13 1,Buses,-90.32490019,40.8117238,45399
PointZ (-90.3205801928269949 40.81226874037780306 0),ABINGDON 13 2,Buses,-90.32058019,40.81226874,45400
PointZ (-90.42688361299720157 40.77437469411020032 0),ABINGDON 14 1,Buses,-90.42688361,40.77437469,45401
PointZ (-76.26679363055380634 39.51748078702559752 0),ABINGDON 2 1,Buses,-76.26679363,39.51748079,16865
PointZ (-76.26247363055379935 39.51803621374700271 0),ABINGDON 2 2,Buses,-76.26247363,39.51803621,16866
PointZ (-76.23400067428670468 39.49523923160940342 0),ABINGDON 3 1,Buses,-76.23400067,39.49523923,16867
PointZ (-76.37702643824549398 39.47646178748129842 0),ABINGDON 4 1,Buses,-76.37702644,39.47646179,16868
PointZ (-76.37540643824550557 39.47667019596659799 0),ABINGDON 4 2,Buses,-76.37540644,39.4766702,16869
PointZ (-81.96049575319429437 36.70811181056090078 0),ABINGDON 5 1,Buses,-81.96049575,36.70811181,18257
PointZ (-81.98452729228789337 36.73743462780340252 0),ABINGDON 6 1,Buses,-81.98452729,36.73743463,18258
PointZ (-81.9867097370559037 36.78151479572579774 0),ABINGDON 7 1,Buses,-81.98670974,36.7815148,18259
PointZ (-81.98238973705589672 36.78093812889400027 0),ABINGDON 7 2,Buses,-81.98238974,36.78093813,18260
PointZ (-81.99225233056229456 36.70878636850549981 0),ABINGDON 8 1,Buses,-81.99225233,36.70878637,18261
PointZ (-81.93517565258549951 36.58568744738639822 0),ABINGDON 9 1,Buses,-81.93517565,36.58568745,18262
PointZ (-70.95075116121380177 42.10042398134910258 0),ABINGTON 1 1,Buses,-70.95075116,42.10042398,3544
PointZ (-70.94913116121379915 42.10042398134910258 0),ABINGTON 1 2,Buses,-70.94913116,42.10042398,3545
PointZ (-75.18595645886060197 40.15871643306039829 0),ABINGTON 2 1,Buses,-75.18595646,40.15871643,13107
PointZ (-89.9391101065772034 30.51173179768269961 0),ABITA SPRINGS 1,Buses,-89.93911011,30.5117318,60735
PointZ (-88.00810732282229765 44.72894033592230301 0),ABRAMS 1,Buses,-88.00810732,44.72894034,47789
PointZ (-74.54645189562050689 39.41764397351690263 0),ABSECON 1 1,Buses,-74.5464519,39.41764397,10162
PointZ (-74.42983988387260297 39.53963538037010039 0),ABSECON 2 1,Buses,-74.42983988,39.53963538,10163
PointZ (-74.40759684723190048 39.47558679772929935 0),ABSECON 3 1,Buses,-74.40759685,39.4755868,10164
PointZ (-74.50641460633559632 39.44456475872419787 0),ABSECON 4 1,Buses,-74.50641461,39.44456476,10165
PointZ (-74.49921460633559889 39.44289670010869742 0),ABSECON 4 2,Buses,-74.49921461,39.4428967,10166
PointZ (-74.50857460633559981 39.44117299719930259 0),ABSECON 4 3,Buses,-74.50857461,39.441173,10167
PointZ (-74.50641460633559632 39.44067256114919928 0),ABSECON 4 4,Buses,-74.50641461,39.44067256,10168
PointZ (-74.49921460633559889 39.44567677292359775 0),ABSECON 4 5,Buses,-74.49921461,39.44567677,10169
PointZ (-74.43639882387809337 39.47295292378330345 0),ABSECON 5 1,Buses,-74.43639882,39.47295292,10170
PointZ (-74.52275392861190539 39.49019813172760252 0),ABSECON 6 1,Buses,-74.52275393,39.49019813,10171
PointZ (-79.23871927681859972 39.64187248949370002 0),ACCIDENT 1,Buses,-79.23871928,39.64187249,16851
PointZ (-75.64317462618029708 37.64794364656510339 0),ACCOMAC 1,Buses,-75.64317463,37.64794365,18513
PointZ (-75.63237462618029383 37.64651843360729799 0),ACCOMAC 2,Buses,-75.63237463,37.64651843,18514
PointZ (-74.22146003794280489 41.81888603427979945 0),ACCORD 1,Buses,-74.22146004,41.81888603,9223
PointZ (-81.84006119512939392 37.70285617827750002 0),ACCOVILLE 1,Buses,-81.8400612,37.70285618,34789
PointZ (-89.21345760779769307 33.37485441995700342 0),ACKERMAN 1 1,Buses,-89.21345761,33.37485442,30133
PointZ (-89.16675551906590158 33.33970779900840142 0),ACKERMAN 2 1,Buses,-89.16675552,33.3397078,30909
PointZ (-89.1487555190659009 33.32767682414279875 0),ACKERMAN 2 2,Buses,-89.14875552,33.32767682,30910
PointZ (-89.1721555190658961 33.34256490482640345 0),ACKERMAN 2 3,Buses,-89.17215552,33.3425649,30911
PointZ (-89.1487555190659009 33.33970779900840142 0),ACKERMAN 2 4,Buses,-89.14875552,33.3397078,30912
PointZ (-89.16675551906590158 33.33068471818840095 0),ACKERMAN 2 6,Buses,-89.16675552,33.33068472,30913
PointZ (-89.21117553416100066 33.43512164282080334 0),ACKERMAN 3 1,Buses,-89.21117553,33.43512164,30941
PointZ (-89.21117553416100066 33.41709434908249676 0),ACKERMAN 3 2,Buses,-89.21117553,33.41709435,30942
PointZ (-89.21657553416099518 33.44097969520070279 0),ACKERMAN 3 3,Buses,-89.21657553,33.4409797,30943
PointZ (-89.21657553416099518 33.43797560904909716 0),ACKERMAN 3 4,Buses,-89.21657553,33.43797561,30944
PointZ (-89.21657553416099518 33.43497141888680346 0),ACKERMAN 3 5,Buses,-89.21657553,33.43497142,30945
PointZ (-89.19317553416099997 33.43812582234809838 0),ACKERMAN 3 6,Buses,-89.19317553,33.43812582,30946
PointZ (-89.19317553416099997 33.42911295001390215 0),ACKERMAN 3 8,Buses,-89.19317553,33.42911295,30947
PointZ (-93.04503941500840369 42.50110381981979657 0),ACKLEY 1 1,Buses,-93.04503942,42.50110382,52506
PointZ (-93.04071941500839671 42.50216546950859708 0),ACKLEY 1 2,Buses,-93.04071942,42.50216547,52507
PointZ (-93.13510738195699901 42.58260634597900207 0),ACKLEY 2 1,Buses,-93.13510738,42.58260635,52508
PointZ (-93.13078738195700623 42.58313648059269951 0),ACKLEY 2 2,Buses,-93.13078738,42.58313648,52509
PointZ (-93.09883887768829425 42.53440135403590006 0),ACKLEY 3 1,Buses,-93.09883888,42.53440135,52510
PointZ (-93.10099887768829774 42.53116492794980275 0),ACKLEY 3 2,Buses,-93.10099888,42.53116493,52511
PointZ (-93.10099887768829774 42.53010376889049837 0),ACKLEY 3 3,Buses,-93.10099888,42.53010377,52512
PointZ (-93.09883887768829425 42.53068740994780228 0),ACKLEY 3 4,Buses,-93.09883888,42.53068741,52513
PointZ (-93.09163887768829682 42.5354624381603017 0),ACKLEY 3 5,Buses,-93.09163888,42.53546244,52514
PointZ (-93.09163887768829682 42.53227912786250187 0),ACKLEY 3 7,Buses,-93.09163888,42.53227913,52515
PointZ (-79.42478030539309941 40.12421998394989942 0),ACME 1,Buses,-79.42478031,40.12421998,15207
PointZ (-70.91413561920100506 43.63156821721379686 0),ACTON 1 1,Buses,-70.91413562,43.63156822,733
PointZ (-70.90981561920099807 43.63261046647190255 0),ACTON 1 2,Buses,-70.90981562,43.63261047,734
PointZ (-71.44572365225640453 42.51806146844130296 0),ACTON 2 1,Buses,-71.44572365,42.51806147,3188
PointZ (-71.35446642540520656 42.44195210426629927 0),ACTON 3 1,Buses,-71.35446643,42.4419521,3189
PointZ (-71.49581580541560299 42.46324562944550252 0),ACTON 4 1,Buses,-71.49581581,42.46324563,3190
PointZ (-71.49419580541560038 42.46344481062109821 0),ACTON 4 2,Buses,-71.49419581,42.46344481,3191
PointZ (-71.48871425134250046 42.51722487697200137 0),ACTON 5 1,Buses,-71.48871425,42.51722488,3192
PointZ (-71.48709425134249784 42.51762289505259673 0),ACTON 5 2,Buses,-71.48709425,42.5176229,3193
PointZ (-71.45934465553760617 42.45984852482270355 0),ACTON 6 1,Buses,-71.45934466,42.45984852,4122
PointZ (-71.45772465553760355 42.45984852482270355 0),ACTON 6 2,Buses,-71.45772466,42.45984852,4123
PointZ (-70.96720800858349776 41.75970353202649932 0),ACUSHNET 1 1,Buses,-70.96720801,41.75970353,2774
PointZ (-70.92666702092959952 41.78886546736219998 0),ACUSHNET 2 1,Buses,-70.92666702,41.78886547,2775
PointZ (-84.6114920003313955 34.00818392178250349 0),ACWORTH 1 1,Buses,-84.611492,34.00818392,23807
PointZ (-84.61743306024600031 34.1503107680634983 0),ACWORTH 2 1,Buses,-84.61743306,34.15031077,23808
PointZ (-84.61311306024599332 34.15090661364580171 0),ACWORTH 2 2,Buses,-84.61311306,34.15090661,23809
PointZ (-84.72067066787529654 34.05567917343530127 0),ACWORTH 3 1,Buses,-84.72067067,34.05567917,23810
PointZ (-84.83357630614649736 34.02195296603350272 0),ACWORTH 4 1,Buses,-84.83357631,34.02195297,23811
PointZ (-84.65839159170009509 34.00278115872770002 0),ACWORTH 5 1,Buses,-84.65839159,34.00278116,23812
PointZ (-84.65407159170010232 34.0015873774813997 0),ACWORTH 5 2,Buses,-84.65407159,34.00158738,23813
PointZ (-83.83387620411650687 40.71804069341889942 0),ADA 1 1,Buses,-83.8338762,40.71804069,37156
PointZ (-96.76224487795660423 34.6989103042203979 0),ADA 10 1,Buses,-96.76224488,34.6989103,62548
PointZ (-96.68233012342669497 34.80272082410849777 0),ADA 11 1,Buses,-96.68233012,34.80272082,62549
PointZ (-83.82046956047450692 40.80649843347419647 0),ADA 2 1,Buses,-83.82046956,40.80649843,37157
PointZ (-83.81614956047449994 40.80704341332779705 0),ADA 2 2,Buses,-83.81614956,40.80704341,37158
PointZ (-83.63548181668099346 40.77451716532849701 0),ADA 3 1,Buses,-83.63548182,40.77451717,37159
PointZ (-85.4951903700685989 42.87819129022619791 0),ADA 4 1,Buses,-85.49519037,42.87819129,40062
PointZ (-85.49418295670770362 42.96997727884119911 0),ADA 5 1,Buses,-85.49418296,42.96997728,40741
PointZ (-85.49634295670769291 42.9699245952479032 0),ADA 5 2,Buses,-85.49634296,42.9699246,40742
PointZ (-85.48698295670770619 42.96892360793240329 0),ADA 5 3,Buses,-85.48698296,42.96892361,40743
PointZ (-96.4521823435975989 47.3543037264365978 0),ADA 6 1,Buses,-96.45218234,47.35430373,49603
PointZ (-96.4521823435975989 47.34576700660979753 0),ADA 6 2,Buses,-96.45218234,47.34576701,49604
PointZ (-96.44138234359759565 47.3543037264365978 0),ADA 6 3,Buses,-96.44138234,47.35430373,49605
PointZ (-96.57375662968350127 47.33812872597349752 0),ADA 7 1,Buses,-96.57375663,47.33812873,49606
PointZ (-96.56295662968349802 47.33690890727130096 0),ADA 7 2,Buses,-96.56295663,47.33690891,49607
PointZ (-96.66695945241420418 34.85634005247170109 0),ADA 8 1,Buses,-96.66695945,34.85634005,62545
PointZ (-96.65615945241420093 34.85781709425290131 0),ADA 8 2,Buses,-96.65615945,34.85781709,62546
PointZ (-96.66217497041409956 34.77217261974939788 0),ADA 9 1,Buses,-96.66217497,34.77217262,62547
PointZ (-94.62318468602879307 41.53425426005839682 0),ADAIR 1 1,Buses,-94.62318469,41.53425426,52164
PointZ (-94.6549396468860067 41.46729740813349707 0),ADAIR 2 1,Buses,-94.65493965,41.46729741,52165
PointZ (-94.69486027117099525 41.4254238945446005 0),ADAIR 3 1,Buses,-94.69486027,41.42542389,54988
PointZ (-94.68766027117099782 41.42488402463980179 0),ADAIR 3 10,Buses,-94.68766027,41.42488402,54996
PointZ (-94.69486027117099525 41.42164470508890162 0),ADAIR 3 2,Buses,-94.69486027,41.42164471,54989
PointZ (-94.69486027117099525 41.41786529373619885 0),ADAIR 3 3,Buses,-94.69486027,41.41786529,54990
PointZ (-94.68550027117099432 41.41835122888119969 0),ADAIR 3 4,Buses,-94.68550027,41.41835123,54991
PointZ (-94.68766027117099782 41.41786529373619885 0),ADAIR 3 5,Buses,-94.68766027,41.41786529,54992
PointZ (-94.69702027117099874 41.42590977313280121 0),ADAIR 3 6,Buses,-94.69702027,41.42590977,54993
PointZ (-94.69702027117099874 41.41727136502729678 0),ADAIR 3 7,Buses,-94.69702027,41.41727137,54994
PointZ (-94.68766027117099782 41.42110480181010246 0),ADAIR 3 8,Buses,-94.68766027,41.4211048,54995
PointZ (-94.65248262476760033 41.5338617892273021 0),ADAIR 4 1,Buses,-94.65248262,41.53386179,55104
PointZ (-94.65248262476760033 41.53008891770969768 0),ADAIR 4 2,Buses,-94.65248262,41.53008892,55105
PointZ (-94.65248262476760033 41.52631582419530076 0),ADAIR 4 3,Buses,-94.65248262,41.52631582,55106
PointZ (-94.65464262476760382 41.5343468555036992 0),ADAIR 4 4,Buses,-94.65464262,41.53434686,55107
PointZ (-94.6452826247676029 41.52847190401929822 0),ADAIR 4 5,Buses,-94.64528262,41.5284719,55108
PointZ (-94.6452826247676029 41.53278385006189666 0),ADAIR 4 7,Buses,-94.64528262,41.53278385,55109
PointZ (-94.56131806786119398 41.50604261999159661 0),ADAIR 5 1,Buses,-94.56131807,41.50604262,55184
PointZ (-94.56131806786119398 41.50226812635050067 0),ADAIR 5 2,Buses,-94.56131807,41.50226813,55185
PointZ (-94.56131806786119398 41.49849341073799991 0),ADAIR 5 3,Buses,-94.56131807,41.49849341,55186
PointZ (-94.56347806786119747 41.50652789482810334 0),ADAIR 5 4,Buses,-94.56347807,41.50652789,55187
PointZ (-94.55411806786119655 41.50442500930940071 0),ADAIR 5 5,Buses,-94.55411807,41.50442501,55188
PointZ (-94.55411806786119655 41.4990326701321024 0),ADAIR 5 7,Buses,-94.55411807,41.49903267,55189
PointZ (-95.2852479480569059 36.51670070303669746 0),ADAIR 6 1,Buses,-95.28524795,36.5167007,62681
PointZ (-84.94123309261000543 34.3182096708450004 0),ADAIRSVILLE 1 1,Buses,-84.94123309,34.31820967,23814
PointZ (-84.87762769667729401 34.34543799344140069 0),ADAIRSVILLE 2 1,Buses,-84.8776277,34.34543799,23815
PointZ (-86.89482293438260285 36.72893218780259872 0),ADAIRVILLE 1 1,Buses,-86.89482293,36.72893219,33655
PointZ (-86.90349705707720318 36.64657584970329651 0),ADAIRVILLE 2 1,Buses,-86.90349706,36.64657585,33656
PointZ (-86.8991770570771962 36.64715352591900199 0),ADAIRVILLE 2 2,Buses,-86.89917706,36.64715353,33657
PointZ (-73.02159077155070577 42.60061243777639817 0),ADAMS 1 1,Buses,-73.02159077,42.60061244,2735
PointZ (-76.09486021456659444 43.81609406500589898 0),ADAMS 2 1,Buses,-76.09486021,43.81609407,8341
PointZ (-76.10030822168579334 43.88551099329249894 0),ADAMS 3 1,Buses,-76.10030822,43.88551099,8342
PointZ (-89.79625088679630096 43.82078862106079953 0),ADAMS 4 1,Buses,-89.79625089,43.82078862,46751
PointZ (-89.78545088679629771 43.81948989299429797 0),ADAMS 4 2,Buses,-89.78545089,43.81948989,46752
PointZ (-89.9208290563535968 43.87696110379000203 0),ADAMS 5 1,Buses,-89.92082906,43.8769611,48462
PointZ (-89.92622905635360553 43.87942628532859857 0),ADAMS 5 2,Buses,-89.92622906,43.87942629,48463
PointZ (-89.92622905635360553 43.87683134863849688 0),ADAMS 5 3,Buses,-89.92622906,43.87683135,48464
PointZ (-89.92622905635360553 43.87423629893810073 0),ADAMS 5 4,Buses,-89.92622906,43.8742363,48465
PointZ (-89.90282905635359612 43.87955603013529782 0),ADAMS 5 5,Buses,-89.90282906,43.87955603,48466
PointZ (-89.90282905635359612 43.87047328411939873 0),ADAMS 5 7,Buses,-89.90282906,43.87047328,48467
PointZ (-92.71131929581160591 43.54189388369830027 0),ADAMS 6 1,Buses,-92.7113193,43.54189388,50971
PointZ (-92.70699929581159893 43.54241578751560127 0),ADAMS 6 2,Buses,-92.7069993,43.54241579,50972
PointZ (-92.68461436800490105 43.55227899145520354 0),ADAMS 7 1,Buses,-92.68461437,43.55227899,51920
PointZ (-92.67741436800490362 43.55019168498110105 0),ADAMS 7 10,Buses,-92.67741437,43.55019168,51928
PointZ (-92.68461436800490105 43.54862616004550091 0),ADAMS 7 2,Buses,-92.68461437,43.54862616,51921
PointZ (-92.67525436800490013 43.54805212237970125 0),ADAMS 7 3,Buses,-92.67525437,43.54805212,51922
PointZ (-92.67741436800490362 43.54758245353519897 0),ADAMS 7 4,Buses,-92.67741437,43.54758245,51923
PointZ (-92.68677436800490455 43.54596467140729743 0),ADAMS 7 5,Buses,-92.68677437,43.54596467,51924
