Number,Name,AreaName,Nom kV,Vpu,kV,Vangle,Load MW,LoadMvar,GenMW,GenMvar,ShuntMvar,ActG,ActB,AreaNumber,ZoneNumber,Substation Longitude,Substation Latitude
38,LIVERMORE FALLS 1 1,Maine,115,1.03963,119.557,-127.04,3.83,0.97,,,,0,0,1,1,-70.12754165,44.446558
39,LIVERMORE FALLS 2 1,Maine,115,1.03967,119.562,-127.26,,,,,,0,0,1,1,-70.2103689,44.43459296
40,LIVERMORE FALLS 2 2,Maine,115,1.03965,119.56,-127.26,4.89,0.95,,,,0,0,1,1,-70.2060489,44.43510707
41,MECHANIC FALLS 1 1,Maine,115,1.0457,120.255,-128.28,3.28,0.56,,,,0,0,1,1,-70.42097787,44.08739949
42,MECHANIC FALLS 2 1,Maine,115,1.04677,120.379,-128.17,2.58,0.19,,,,0,0,1,1,-70.46819532,44.13988938
43,MECHANIC FALLS 3 1,Maine,115,1.04862,120.591,-127.93,1.77,0.73,,,,0,0,1,1,-70.3802721,44.13936801
44,POLAND 1 1,Maine,115,1.04438,120.103,-128.38,6.16,1.57,,,,0,0,1,1,-70.38472488,44.03958612
45,POLAND 2 1,Maine,115,1.04233,119.868,-128.79,3.08,0.41,,,,0,0,1,1,-70.34627196,44.00592661
46,SABATTUS 1 1,Maine,115,1.04098,119.713,-128.13,3.73,1.41,,,,0,0,1,1,-70.11985152,44.16287968
47,SABATTUS 2 1,Maine,115,1.04087,119.7,-128.1,3.73,1.61,,,,0,0,1,1,-69.98178887,44.13607377
48,TURNER 1 1,Maine,230,1.04321,239.939,-127.33,,,,,43.48,0,0,1,1,-70.23060205,44.26863418
49,TURNER 1 2,Maine,115,1.04952,120.695,-127.74,,,,,,0,0,1,1,-70.22628205,44.26708744
50,TURNER 1 3,Maine,230,1.0432,239.935,-127.33,3.31,0.94,,,,0,0,1,1,-70.22628205,44.26966532
51,TURNER 2 1,Maine,115,1.04956,120.7,-127.69,4.65,1.41,,,,0,0,1,1,-70.16884019,44.2760964
52,ASHLAND 1 1,Maine,115,1.01994,117.293,-122.31,,,,,,0,0,1,1,-68.88351135,46.26040076
53,ASHLAND 1 2,Maine,115,1.01993,117.292,-122.31,1.96,0.2,,,,0,0,1,1,-68.87271135,46.26164523
54,ASHLAND 2 1,Maine,115,1.0223,117.564,-122.45,,,,,,0,0,1,1,-69.02189496,46.28264071
55,ASHLAND 2 2,Maine,115,1.02229,117.564,-122.45,0.96,0.19,,,,0,0,1,1,-69.01109496,46.28388468
56,BLAINE 1,Maine,115,1.04018,119.62,-123.38,3.23,0.43,,,,0,0,1,1,-67.92089583,46.50599354
57,CARIBOU 1 1,Maine,115,1.04923,120.661,-123.83,5.7,0.59,,,,0,0,1,1,-67.96697272,46.86962975
58,CARIBOU 2 1,Maine,230,1.04819,241.084,-123.6,,,,,,0,0,1,1,-68.00637258,46.98436583
59,CARIBOU 2 2,Maine,115,1.04895,120.629,-123.82,,,,,,0,0,1,1,-67.99557258,46.98068183
60,CARIBOU 2 3,Maine,230,1.04814,241.072,-123.61,5.7,3.63,,,,0,0,1,1,-67.99557258,46.98559377
61,CARIBOU 3 1,Maine,115,1.04902,120.637,-123.84,6.74,1.17,,,,0,0,1,1,-68.06531206,46.88813153
62,DANFORTH 1 1,Maine,115,1.03734,119.294,-121.17,0.92,0.54,,,,0,0,1,1,-67.92034394,45.69115154
63,DANFORTH 2 1,Maine,115,1.03606,119.147,-121.55,1.29,0.29,,,,0,0,1,1,-67.83156235,45.5742363
64,EAGLE LAKE 1 1,Maine,115,1.02837,118.262,-124.08,,,,,-18.84,0,0,1,1,-68.78463697,47.01647339
65,EAGLE LAKE 1 2,Maine,115,1.02836,118.262,-124.08,0.64,0.1,,,,0,0,1,1,-68.77383697,47.01770059
66,EAGLE LAKE 2 1,Maine,115,1.04795,120.515,-124.23,1.28,0.18,,,,0,0,1,1,-68.65343255,46.96049731
67,FORT FAIRFIELD 1 1,Maine,115,1.04734,120.444,-123.72,2.02,0.65,,,,0,0,1,1,-67.82219979,46.71428767
68,FORT FAIRFIELD 2 1,Maine,115,1.04921,120.659,-123.74,2.02,0.58,,,,0,0,1,1,-67.92528079,46.80850854
69,FORT FAIRFIELD 3 1,Maine,115,1.04911,120.648,-123.75,,,,,,0,0,1,1,-67.81430942,46.80044696
70,FORT FAIRFIELD 3 2,Maine,115,1.0491,120.647,-123.75,2.02,0.22,,,,0,0,1,1,-67.80350942,46.80414335
71,FORT KENT 1 1,Maine,230,1.05032,241.574,-123.88,,,,,,0,0,1,1,-68.60643478,47.1538548
72,FORT KENT 1 2,Maine,115,1.04959,120.703,-124.1,6.36,0.87,,,,0,0,1,1,-68.59563478,47.14895834
73,FORT KENT 1 3,Maine,230,1.05036,241.583,-123.88,,,,,,0,0,1,1,-68.59563478,47.15507884
74,FORT KENT 2 1,Maine,115,1.04009,119.61,-124.16,2.7,0.77,,,,0,0,1,1,-68.62505817,47.22902675
75,FORT KENT 2 2,Maine,115,1.0401,119.612,-124.16,,,,,,0,0,1,1,-68.61425817,47.22780442
76,FRENCHVILLE 1 1,Maine,115,1.04366,120.021,-124.12,1.25,0.39,,,,0,0,1,1,-68.49790138,47.21373605
77,HOULTON 1 1,Maine,115,1.03299,118.794,-123.18,5.76,1.73,,,,0,0,1,1,-67.8417694,46.19906826
78,HOULTON 2 1,Maine,115,1.03324,118.822,-123.21,,,,,,0,0,1,1,-67.86604837,46.12537179
79,HOULTON 2 2,Maine,115,1.03322,118.82,-123.21,5.76,0.61,,,,0,0,1,1,-67.85524837,46.12786683
80,HOULTON 3 1,Maine,230,1.0261,236.003,-122.55,,,,,-39.76,0,0,1,1,-67.84856419,46.17394428
81,HOULTON 3 2,Maine,115,1.03311,118.807,-123.13,,,,,,0,0,1,1,-67.83776419,46.16895826
82,HOULTON 3 3,Maine,230,1.02608,235.998,-122.56,5.76,0.9,,,,0,0,1,1,-67.83776419,46.17643711
83,ISLAND FALLS 1 1,Maine,230,1.02379,235.472,-122.16,,,,,,0,0,1,1,-68.20526843,46.0405568
84,ISLAND FALLS 1 2,Maine,230,1.02378,235.47,-122.16,2.38,0.27,,,,0,0,1,1,-68.19446843,46.04180625
85,ISLAND FALLS 2 1,Maine,115,1.03382,118.889,-123.16,,,,,,0,0,1,1,-68.32506131,45.91136821
86,ISLAND FALLS 2 2,Maine,115,1.03381,118.888,-123.16,1.3,0.1,,,,0,0,1,1,-68.31426131,45.91262058
87,LIMESTONE 1 1,Maine,115,1.04985,120.732,-123.88,1.5,0.31,,,,0,0,1,1,-67.88185862,46.96561378
88,LIMESTONE 2 1,Maine,115,1.04993,120.742,-123.9,1.5,0.63,,,,0,0,1,1,-67.78370543,47.04999915
89,LIMESTONE 3 1,Maine,115,1.04981,120.728,-123.88,1.5,0.87,,,,0,0,1,1,-67.78400858,46.93764081
90,MADAWASKA 1 1,Maine,115,1.05026,120.78,-124.1,,,,,,0,0,1,1,-68.34369837,47.3498501
91,MADAWASKA 1 2,Maine,115,1.05025,120.779,-124.1,1.93,0.17,,,,0,0,1,1,-68.33289837,47.35106962
92,MADAWASKA 2 1,Maine,230,1.05155,241.856,-123.72,,,,,,0,0,1,1,-68.31379176,47.26150944
93,MADAWASKA 2 2,Maine,115,1.04655,120.354,-123.97,,,,,,0,0,1,1,-68.30299176,47.25662292
94,MADAWASKA 2 3,Maine,230,1.05154,241.853,-123.73,3.41,0.21,,,,0,0,1,1,-68.30299176,47.262731
95,MADAWASKA 3 1,Maine,115,1.04955,120.699,-124.1,2.35,0.88,,,,0,0,1,1,-68.22403085,47.34727142
96,MAPLETON 1 1,Maine,230,1.04857,241.171,-123.58,,,,,,0,0,1,1,-68.23199509,46.74190867
97,MAPLETON 1 2,Maine,115,1.05004,120.755,-123.67,,,,,,0,0,1,1,-68.21399509,46.738208
98,MAPLETON 1 3,Maine,13.8,1.04931,14.481,-123.62,,,,,,0,0,1,1,-68.23739509,46.73561738
99,MAPLETON 1 4,Maine,1,1.04931,1.049,-123.62,,,,,,0,0,1,1,-68.23199509,46.73450708
100,MAPLETON 1 5,Maine,230,1.04856,241.168,-123.58,2.79,0.45,,,,0,0,1,1,-68.21399509,46.74314217
101,MAPLETON 2 1,Maine,115,1.05041,120.797,-123.6,,,,,,0,0,1,1,-68.13654961,46.65936814
102,MAPLETON 2 2,Maine,115,1.0504,120.796,-123.6,1.66,0.35,,,,0,0,1,1,-68.12574961,46.66060352
103,MAPLETON 3 1,Maine,115,1.05063,120.822,-123.73,1.66,0.23,,,,0,0,1,1,-68.31705325,46.72331061
104,MARS HILL 1 1,Maine,115,1.04296,119.94,-123.38,2.47,0.14,,,,0,0,1,1,-67.83162831,46.56012403
105,MATTAWAMKEAG 1,Maine,115,1.01358,116.562,-122.52,1.79,0.84,,,,0,0,1,1,-68.27533648,45.58713506
106,MONTICELLO 1 1,Maine,115,1.03688,119.241,-123.29,2.09,0.32,,,,0,0,1,1,-67.94015507,46.32378418
107,MONTICELLO 1 2,Maine,115,1.03688,119.242,-123.29,,,,,,0,0,1,1,-67.92935507,46.32254112
108,OAKFIELD 1 1,Maine,115,1.03423,118.937,-123.25,1.33,0.15,,,,0,0,1,1,-68.04138301,46.13163615
109,ORIENT 1 1,Maine,115,1.03926,119.514,-121.54,1.75,0.29,,,,0,0,1,1,-67.89899043,45.81868283
110,ORIENT 1 2,Maine,115,1.03926,119.515,-121.54,,,,,,0,0,1,1,-67.88819043,45.81742835
111,PATTEN 1,Maine,115,1.02976,118.422,-122.95,2.26,0.72,,,,0,0,1,1,-68.60071786,46.1201381
112,PORTAGE 1 1,Maine,115,1.04626,120.32,-124.27,0.69,0.36,,,,0,0,1,1,-68.85816461,46.85243792
113,PRESQUE ISLE 1 1,Maine,115,1.0439,120.048,-123.62,6.33,1.36,,,,0,0,1,1,-67.91277235,46.62860336
114,PRESQUE ISLE 2 1,Maine,115,1.0438,120.037,-123.66,6.64,2.69,,,,0,0,1,1,-67.95450074,46.63085939
115,PRESQUE ISLE 3 1,Maine,115,1.04468,120.138,-123.65,,,,,,0,0,1,1,-67.9408135,46.69411329
116,PRESQUE ISLE 3 2,Maine,115,1.04465,120.135,-123.66,5.59,1.58,,,,0,0,1,1,-67.9300135,46.69534788
117,SAINT AGATHA 1 1,Maine,115,1.0454,120.221,-124.06,1.13,0.11,,,,0,0,1,1,-68.33129708,47.15100047
118,SAINT AGATHA 2 1,Maine,115,1.04744,120.456,-124.02,1.4,0.68,,,,0,0,1,1,-68.21893398,47.20090359
119,SAINT FRANCIS 1 1,Maine,115,1.04128,119.747,-124.26,,,,,,0,0,1,1,-69.17102628,47.13347491
120,SAINT FRANCIS 1 2,Maine,115,1.04127,119.746,-124.26,1.27,0.33,,,,0,0,1,1,-69.16022628,47.13469942
121,SHERMAN 1 1,Maine,115,1.0137,116.575,-122.14,,,,,,0,0,1,1,-68.32931631,45.803492
122,SHERMAN 1 2,Maine,115,1.01369,116.574,-122.14,1.94,0.75,,,,0,0,1,1,-68.31851631,45.8047468
123,SMYRNA MILLS 1,Maine,115,1.03487,119.01,-123.25,1.4,0.39,,,,0,0,1,1,-68.1979047,46.20307334
124,SMYRNA MILLS 2,Maine,115,1.03488,119.011,-123.25,,,,,,0,0,1,1,-68.1871047,46.20182754
125,VAN BUREN 1 1,Maine,115,1.04806,120.527,-124.09,1.44,0.04,,,,0,0,1,1,-67.97410879,47.18176377
126,VAN BUREN 2 1,Maine,115,1.04823,120.547,-124.08,,,,,,0,0,1,1,-68.04697396,47.16955598
127,VAN BUREN 2 2,Maine,115,1.04823,120.546,-124.08,1.72,0.34,,,,0,0,1,1,-68.03617396,47.17077966
128,VAN BUREN 3 1,Maine,115,1.04866,120.596,-124,2.18,0.09,,,,0,0,1,1,-68.06463731,47.08705187
129,WASHBURN 1 1,Maine,115,1.05109,120.876,-123.77,2.94,0.73,,,,0,0,1,1,-68.18942929,46.8129558
130,BRIDGTON 1 1,Maine,115,1.04199,119.829,-129.64,3,0.76,,,,0,0,1,1,-70.69346625,44.075078
131,BRIDGTON 2 1,Maine,230,1.03964,239.118,-128.41,,,,,,0,0,1,1,-70.74935818,44.03167051
132,BRIDGTON 2 2,Maine,115,1.04218,119.85,-129.4,5.16,0.81,,,,0,0,1,1,-70.74503818,44.02959989
133,BRIDGTON 2 3,Maine,230,1.03965,239.12,-128.39,,,,,,0,0,1,1,-70.74503818,44.03218816
134,BRIDGTON 3 1,Maine,115,1.04207,119.838,-129.74,2.97,0.36,,,,0,0,1,1,-70.66010141,44.05943417
135,BRUNSWICK 1 1,Maine,115,1.04063,119.672,-128.83,8.77,3.83,,,,0,0,1,1,-69.93359954,43.95732073
136,BRUNSWICK 2 1,Maine,115,1.03983,119.58,-128.79,8.77,5.11,,,,0,0,1,1,-70.00468299,43.90619761
137,BRUNSWICK 3 1,Maine,115,1.04155,119.778,-128.83,8.77,3.37,,,,0,0,1,1,-69.96581558,43.92484528
138,BRUNSWICK 4 1,Maine,115,1.04001,119.601,-128.83,9.08,2.9,,,,0,0,1,1,-69.95581415,43.884322
139,CAPE ELIZABETH 1 1,Maine,115,1.03822,119.395,-130.19,5.18,1.38,,,,0,0,1,1,-70.27076685,43.55851519
140,CAPE ELIZABETH 2 1,Maine,115,1.04056,119.665,-129.99,5.18,1.22,,,,0,0,1,1,-70.20101784,43.63153892
141,CASCO 1 1,Maine,115,1.04103,119.718,-129.37,2.2,0.11,,,,0,0,1,1,-70.48402181,43.93299791
142,CASCO 2 1,Maine,115,1.04042,119.649,-129.56,2.2,0.32,,,,0,0,1,1,-70.48360698,43.88673935
143,CUMBERLAND CENTER 1 1,Maine,115,1.03981,119.579,-129.75,,,,,,0,0,1,1,-70.26907999,43.82476946
144,CUMBERLAND CENTER 1 2,Maine,115,1.0398,119.577,-129.75,3.36,0.88,,,,0,0,1,1,-70.26475999,43.82528891
145,CUMBERLAND CENTER 2 1,Maine,115,1.04008,119.609,-129.71,3.36,0.5,,,9,0,0,1,1,-70.24294562,43.83138107
146,FALMOUTH 1 1,Maine,115,1.04015,119.617,-129.89,6.93,0.7,,,,0,0,1,1,-70.26918354,43.72231374
147,FALMOUTH 2 1,Maine,115,1.03959,119.553,-129.79,6.43,3.81,,,,0,0,1,1,-70.29729618,43.77950191
148,FALMOUTH 3 1,Maine,115,1.04033,119.638,-129.9,9.79,4.09,,,,0,0,1,1,-70.26160919,43.70354719
149,FREEPORT 1 1,Maine,115,1.04007,119.608,-129.5,4.74,1.19,,,,0,0,1,1,-70.08293955,43.84968254
150,FREEPORT 2 1,Maine,115,1.04003,119.604,-129.44,4.6,1.37,,,,0,0,1,1,-70.14281515,43.8537373
151,FREEPORT 3 1,Maine,115,1.04069,119.679,-129.66,,,,,,0,0,1,1,-70.05864077,43.77752256
152,FREEPORT 3 2,Maine,115,1.04066,119.676,-129.66,5.55,1.49,,,,0,0,1,1,-70.05432077,43.77856227
153,GORHAM 1 1,Maine,115,1.03671,119.222,-130.26,7.08,2.03,,,,0,0,1,1,-70.49550049,43.72117875
154,GORHAM 1 2,Maine,115,1.03675,119.226,-130.26,,,,,,0,0,1,1,-70.49118049,43.7206584
155,GORHAM 2 1,Maine,115,1.03709,119.265,-129.87,7.08,2.36,,,-11.65,0,0,1,1,-70.41335968,43.80713083
156,GORHAM 3 1,Maine,115,1.03659,119.208,-130.32,,,,,,0,0,1,1,-70.49418402,43.68233655
157,GORHAM 3 2,Maine,115,1.03656,119.205,-130.32,7.08,0.96,,,,0,0,1,1,-70.48986402,43.68285724
158,GORHAM 4 1,Maine,115,1.03725,119.284,-130.18,7.08,1.19,,,,0,0,1,1,-70.4447843,43.7073325
159,GRAY 1 1,Maine,230,1.04289,239.866,-128.72,8.56,0.99,,,,0,0,1,1,-70.34247597,43.83910821
160,GRAY 2 1,Maine,115,1.03974,119.57,-129.78,4.28,0.73,,,,0,0,1,1,-70.37250822,43.86574393
161,HARPSWELL 1 1,Maine,115,1.04128,119.748,-128.84,2.23,0.08,,,,0,0,1,1,-69.89707829,43.78521944
162,HARPSWELL 2 1,Maine,115,1.04138,119.759,-129.11,2.23,0.39,,,,0,0,1,1,-69.92782191,43.85385134
163,HARPSWELL 3 1,Maine,115,1.0404,119.646,-129.62,,,,,,0,0,1,1,-69.96514862,43.75047093
164,HARPSWELL 3 2,Maine,115,1.04039,119.644,-129.62,2.73,0.54,,,,0,0,1,1,-69.96082862,43.75099102
165,HARRISON 1 1,Maine,115,1.04184,119.812,-129.66,1.79,0.37,,,,0,0,1,1,-70.86211935,44.04634031
166,HARRISON 2 1,Maine,115,1.04244,119.881,-129.34,2.53,1.52,,,,0,0,1,1,-70.85226275,44.11092784
167,HARRISON 3 1,Maine,115,1.04368,120.024,-128.65,2.7,0.34,,,,0,0,1,1,-70.74390677,44.19084379
168,NAPLES 1 1,Maine,115,1.04226,119.86,-129.84,2.19,0.96,,,,0,0,1,1,-70.67915774,44.00564271
169,NAPLES 2 1,Maine,115,1.04277,119.918,-130,2.19,0.55,,,,0,0,1,1,-70.64706551,43.93039775
170,NEW GLOUCESTER 1 1,Maine,115,1.03783,119.35,-129.21,3.2,0.54,,,,0,0,1,1,-70.30256263,43.93446694
171,NEW GLOUCESTER 2 1,Maine,115,1.04314,119.962,-128.43,4.71,1.79,,,,0,0,1,1,-70.28913146,44.06642718
172,NEW GLOUCESTER 2 2,Maine,115,1.04317,119.965,-128.43,,,,,,0,0,1,1,-70.28481146,44.06539249
173,NEW GLOUCESTER 3 1,Maine,115,1.03872,119.453,-129.54,5.26,1.95,,,,0,0,1,1,-70.28772561,43.86505697
174,PORTLAND 1 1,Maine,115,1.0379,119.359,-130.21,12.74,3.06,,,,0,0,1,1,-70.23044578,43.57728283
175,PORTLAND 2 1,Maine,115,1.04,119.6,-129.91,,,,,,0,0,1,1,-70.21539832,43.65483588
176,PORTLAND 2 2,Maine,115,1.03995,119.594,-129.91,7.45,3.59,,,,0,0,1,1,-70.21107832,43.65587773
177,PORTLAND 3 1,Maine,115,1.03892,119.475,-129.97,7.49,0.87,,,,0,0,1,1,-70.22479121,43.67904417
178,PORTLAND 4 1,Maine,115,1.03834,119.409,-130.22,7.5,0.8,,,,0,0,1,1,-70.35838354,43.59676507
179,PORTLAND 5 1,Maine,115,1.03865,119.444,-130.05,7.5,1.71,,,,0,0,1,1,-70.2599319,43.62502951
180,PORTLAND 6 1,Maine,115,1.04008,119.609,-129.92,7.5,1.97,,,,0,0,1,1,-70.36563755,43.74595932
181,PORTLAND 7 1,Maine,230,1.03996,239.191,-128.82,,,,,0.95,0,0,1,1,-70.31175032,43.74169689
182,PORTLAND 7 2,Maine,115,1.04186,119.814,-129.84,13.24,2.34,,,,0,0,1,1,-70.31175032,43.73805556
183,PORTLAND 7 3,Maine,230,1.04036,239.283,-128.79,,,,,,0,0,1,1,-70.30743032,43.74169689
184,PORTLAND 8 1,Maine,115,1.04129,119.748,-130.04,13.96,6.21,,,20.81,0,0,1,1,-70.1774041,43.65678684
185,PORTLAND 9 1,Maine,230,1.03697,238.503,-128.72,,,,,-86.69,0,0,1,1,-70.2410624,43.6609366
186,PORTLAND 9 2,Maine,115,1.03846,119.423,-129.98,,,,,,0,0,1,1,-70.2367424,43.65885306
187,PORTLAND 9 3,Maine,230,1.03692,238.492,-128.73,13.24,1.5,,,,0,0,1,1,-70.2367424,43.66197834
188,PORTLAND 10 1,Maine,115,1.03761,119.325,-130.06,20.69,7.45,,,,0,0,1,1,-70.27655176,43.66049283
189,RAYMOND 1 1,Maine,115,1.03942,119.533,-129.52,2.77,0.63,,,,0,0,1,1,-70.42082533,43.87789195
190,RAYMOND 2 1,Maine,230,1.0427,239.821,-128.82,,,,,,0,0,1,1,-70.43341061,43.9208242
191,RAYMOND 2 2,Maine,115,1.04146,119.768,-129.21,,,,,,0,0,1,1,-70.42621061,43.91823107
192,RAYMOND 2 3,Maine,20,1.03886,20.777,-129.91,4.96,1.11,,,,0,0,1,1,-70.43557061,43.91817921
193,RAYMOND 2 4,Maine,1,1.041,1.041,-129.44,,,,,,0,0,1,1,-70.43341061,43.91771243
194,RAYMOND 2 5,Maine,230,1.04276,239.835,-128.81,,,,,,0,0,1,1,-70.42621061,43.92134282
195,SCARBOROUGH 1 1,Maine,115,1.03788,119.356,-130.32,8.35,1.3,,,,0,0,1,1,-70.37165392,43.5635261
196,SCARBOROUGH 2 1,Maine,230,1.04134,239.509,-129.49,,,,,,0,0,1,1,-70.44088086,43.52645722
197,SCARBOROUGH 2 2,Maine,115,1.03915,119.502,-130.54,,,,,,0,0,1,1,-70.43368086,43.5233249
198,SCARBOROUGH 2 3,Maine,13.8,1.03647,14.303,-132.13,,,,,,0,0,1,1,-70.44304086,43.52275062
199,SCARBOROUGH 2 4,Maine,1,1.03647,1.036,-132.13,,,,,,0,0,1,1,-70.44088086,43.52228075
200,SCARBOROUGH 2 5,Maine,230,1.04128,239.495,-129.5,16.11,3.09,,,,0,0,1,1,-70.43368086,43.52750129
201,SCARBOROUGH 3 1,Maine,115,1.03876,119.457,-130.6,8.11,2.12,,,,0,0,1,1,-70.4782008,43.52245647
202,SCARBOROUGH 4 1,Maine,115,1.03644,119.191,-130.08,8.11,1.72,,,,0,0,1,1,-70.38506116,43.64876469
203,SEBAGO 1 1,Maine,115,1.0433,119.98,-130.08,1.66,0.5,,,,0,0,1,1,-70.72120326,43.95091824
204,SEBAGO 2 1,Maine,115,1.04416,120.078,-130.18,1.52,0.33,,,,0,0,1,1,-70.79514976,43.88448161
205,SEBAGO 3 1,Maine,115,1.03791,119.359,-130.62,,,,,,0,0,1,1,-70.66996361,43.79015528
206,SEBAGO 3 2,Maine,115,1.03788,119.356,-130.62,3.25,1.23,,,,0,0,1,1,-70.66564361,43.79067503
207,SOUTH PORTLAND 1 1,Maine,115,1.03813,119.385,-130.09,18.88,3.93,,,,0,0,1,1,-70.29442084,43.63845352
208,SOUTH PORTLAND 2 1,Maine,115,1.03849,119.426,-130.16,,,,,,0,0,1,1,-70.29567921,43.56515785
209,SOUTH PORTLAND 2 2,Maine,115,1.03843,119.42,-130.17,10.89,2.06,,,,0,0,1,1,-70.29135921,43.56620125
210,SOUTH PORTLAND 3 1,Maine,115,1.03765,119.33,-130.06,10.89,1.69,,,,0,0,1,1,-70.31444473,43.67362587
211,SOUTH PORTLAND 4 1,Maine,115,1.03527,119.056,-130.14,,,,,-7.68,0,0,1,1,-70.36721759,43.68068905
212,SOUTH PORTLAND 4 2,Maine,115,1.03518,119.045,-130.14,10.89,5.81,,,,0,0,1,1,-70.36289759,43.68120975
213,STANDISH 1 1,Maine,115,1.03859,119.438,-130.17,4.66,1.97,,,,0,0,1,1,-70.50659072,43.78590311
214,STANDISH 2 1,Maine,115,1.04103,119.718,-130.58,7.13,1.52,,,,0,0,1,1,-70.64600784,43.67387095
215,STANDISH 3 1,Maine,115,1.04009,119.61,-130.43,6.77,0.95,,,,0,0,1,1,-70.63740203,43.70493564
216,WESTBROOK 1 1,Maine,115,1.03929,119.518,-130,7.58,1.21,,,,0,0,1,1,-70.31334635,43.71796999
